grade,subject,chapter,step,type,severity,quote,problem
Grade 5,English,3. The Rainbow,Revision and recap,TOPIC_MISMATCH,low,"The final activities create colours, compare boats, and return to the poem’s contrast between ships and bridges made by people and clouds and rainbows in nature","This step discusses activities that are not present in the source text, which only contains the poem and some exercises."
Grade 5,English,3. The Rainbow,What We Learn,TOPIC_MISMATCH,low,"The chapter studies words by letter order, by joining friend words, and by changing their role in a sentence","This step discusses language activities that are not present in the source text, which only contains the poem and some exercises."
Grade 5,English,3. The Rainbow,Worked examples,FABRICATED_NUMBER,low,"The prompts form sail, river, sea, clouds, bridges, heaven, overtops, bow, and road",The source text does not mention these specific words or phrases.
Grade 5,English,4. The Wise Parrot,Core explanation,UNSUPPORTED_CLAIM,low,The parrot pretends to be dead and then flies away.,The text does not explicitly state that the parrot pretends to be dead.
Grade 5,English,4. The Wise Parrot,Recap,UNSUPPORTED_CLAIM,low,The story teaches us that wisdom and cleverness are very important.,The text does not explicitly state that wisdom and cleverness are more important than strength.
Grade 5,English,4. The Wise Parrot,What We Learn,UNSUPPORTED_CLAIM,low,The story teaches us that wisdom and cleverness are more powerful than physical strength.,The text does not explicitly state that wisdom and cleverness are more powerful than physical strength.
Grade 5,English,5. The Frog,Worked examples,UNSUPPORTED_CLAIM,low,"Frogs catch their food using their tongue, which works very fast.",The speed of the tongue is not explicitly mentioned in the SOURCE_TEXT.
Grade 5,English,5. The Frog,Worked examples,FABRICATED_NUMBER,low,"Frogs flick their long, sticky tongue very quickly to catch insects like mosquitoes.",The exact speed or number of times the tongue flicks is not specified in the SOURCE_TEXT.
Grade 5,English,5. The Frog,Lesson on 'Where Does the Frog Like to Sit or Spend Time?',TOPIC_MISMATCH,high,"Frogs catch their food using their quick tongue, move by jumping and swimming, and hide among plants and leaves with their matching colors.",This step is about a different topic than the given chapter label '5. The Frog'.
Grade 5,English,6. What a Tank!,Concept introduction,UNSUPPORTED_CLAIM,low,"Water storage has long protected cities, supplied drinking water, and brought people together.",This statement is a generalization and not supported by specific examples in the source text.
Grade 5,English,6. What a Tank!,Core explanation,UNSUPPORTED_CLAIM,low,"The Think questions ask what tanks are used for, where Punjab is, how the tanks are made, and why their shapes matter.",The source text does not mention the Think questions or their content.
Grade 5,English,6. What a Tank!,Exam-style problems,UNSUPPORTED_CLAIM,low,The speaking activity asks how water is wasted and saved.,The source text does not mention a speaking activity or its content.
Grade 5,English,6. What a Tank!,Revision and recap,UNSUPPORTED_CLAIM,low,The final tasks turn conservation into communication and action.,The source text does not mention the final tasks or their content.
Grade 5,English,6. What a Tank!,Worked examples,FABRICATED_NUMBER,low,The tank’s shape does not affect its capacity; it is given as 500 liters.,The source text does not mention the capacity of the tank or its shape.
Grade 5,English,7. Gilli Danda,Concept introduction,UNSUPPORTED_CLAIM,low,The game is an indoor game.,"The poem describes the game as being played in a playground, which is an outdoor setting."
Grade 5,English,8. The Decision of the Panchayat,Core explanation,UNSUPPORTED_CLAIM,low,The neighbour remains adamant even after people reason with him.,"The neighbour does not remain adamant after people reason with him, he continues to claim that the water is his."
Grade 5,English,9. Vocation,Concept introduction,UNSUPPORTED_CLAIM,low,"The child walks to school in the morning, returns in the afternoon, and is sent to bed at night.","This statement is a generalization and not supported by the poem, which only describes the child's observations of different workers."
Grade 5,English,9. Vocation,Core explanation,UNSUPPORTED_CLAIM,low,The speaker admires freedom in work but does not yet see its full demands.,"This statement is an interpretation and not directly supported by the poem, which focuses on the child's observations and wishes."
Grade 5,English,9. Vocation,Exam-style problems,FABRICATED_NUMBER,low,"Allot 25–40 minutes to this activity, depending on the strength of the class.",The time allocated for this activity is not supported by the poem or the chapter's content.
Grade 5,English,9. Vocation,Revision and recap,UNSUPPORTED_CLAIM,low,"Every job has its own importance, whether it is big or small.","This statement is a generalization and not directly supported by the poem, which focuses on the child's observations and wishes."
Grade 5,English,9. Vocation,Worked examples,FABRICATED_NUMBER,low,"Allot 25–40 minutes to this activity, depending on the strength of the class.",The time allocated for this activity is not supported by the poem or the chapter's content.
Grade 5,English,9. Vocation,What We Learn,UNSUPPORTED_CLAIM,low,"Every job has its own importance, whether it is big or small.","This statement is a generalization and not directly supported by the poem, which focuses on the child's observations and wishes."
Grade 5,English,9. Vocation,Lesson on Recap of Common Errors in Sentences,TOPIC_MISMATCH,high,How to identify common grammatical errors in sentences.,"This step is about grammar and sentence correction, which is a different topic from the chapter's focus on vocations and work."
Grade 5,English,9. Vocation,"Lesson on ""What We Learn"" from the Chapter ""Vocation""",UNSUPPORTED_CLAIM,low,"Every job has its own importance, whether it is big or small.","This statement is a generalization and not directly supported by the poem, which focuses on the child's observations and wishes."
Grade 5,EVS,Chapter 1: Water — The Essence of Life,Concept introduction,UNSUPPORTED_CLAIM,low,Not all visible water is safe to drink; the chapter distinguishes freshwater from salty ocean water.,"This statement is not entirely accurate, as it implies that all visible water is safe to drink, which is not the case. However, the chapter does distinguish between freshwater and salty ocean water."
Grade 5,EVS,Chapter 1: Water — The Essence of Life,Core explanation,UNSUPPORTED_CLAIM,low,The water cycle does not make new water; it moves and changes existing water.,"This statement is a simplification, as the water cycle does involve the transformation of water from one state to another, but it does not create new water molecules."
Grade 5,EVS,Chapter 1: Water — The Essence of Life,Recap,UNSUPPORTED_CLAIM,low,"Many students think that water only moves in rivers and lakes. But water also moves underground as groundwater, and it evaporates into the air, forming clouds.","This statement is a simplification, as it implies that students think water only moves in rivers and lakes, which is not the case. However, the statement is accurate in highlighting the importance of groundwater and evaporation."
Grade 5,EVS,Chapter 1: Water — The Essence of Life,"Waterproof Leaves, Food Chains and Conservation",UNSUPPORTED_CLAIM,low,A food chain is not a list of unrelated animals; each link shows dependence.,"This statement is a simplification, as it implies that a food chain is only about dependence, which is not the case. However, the statement is accurate in highlighting the importance of dependence in a food chain."
Grade 5,EVS,Chapter 1: Water — The Essence of Life,What We Learn,UNSUPPORTED_CLAIM,low,"Many students think water only exists in lakes and rivers. But water is also stored underground as groundwater, which is a vital source for drinking and farming.","This statement is a simplification, as it implies that students think water only exists in lakes and rivers, which is not the case. However, the statement is accurate in highlighting the importance of groundwater."
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Concept introduction,UNSUPPORTED_CLAIM,low,The broadest final line of a student’s address is Planet: Earth.,"This statement is not explicitly supported by the source text, but it is a reasonable inference based on the information provided."
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Core explanation,UNSUPPORTED_CLAIM,low,The chapter identifies Wing Commander Rakesh Sharma as the first Indian to see Earth from space.,The source text does not mention Wing Commander Rakesh Sharma's achievement in this context.
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Exam-style problems,FABRICATED_NUMBER,low,"Today, more than three-fourths of Brazil’s milk comes from three Indian cow breeds — Gir, Kankrej and Ongole.",The source text does not provide a specific percentage or number of milk production in Brazil.
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Revision and recap,INCONSISTENCY,low,"The chapter states that Earth is a shared home for all living beings, but later mentions that people, animals, trees, rivers, air, and sky belong to the Earth family.",The two statements seem to be redundant and may cause confusion.
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,What We Learn,UNSUPPORTED_CLAIM,low,Earth is special because it supports life.,"This statement is not explicitly supported by the source text, but it is a reasonable inference based on the information provided."
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Worked examples,FABRICATED_NUMBER,low,"Over time, these chillies grow well and become a part of Indian cuisine.",The source text does not provide a specific time frame or number of chillies grown.
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Chilli and Sugar Across the World,UNSUPPORTED_CLAIM,low,The chapter says chilli plants were once found only in South America.,The source text does not explicitly state that chilli plants were found only in South America.
Grade 5,EVS,Chapter 2: Journey of a River,Concept introduction,UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 2: Journey of a River,Core explanation,UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 2: Journey of a River,Exam-style problems,UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 2: Journey of a River,Recap,UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 2: Journey of a River,Revision and recap,UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 2: Journey of a River,Worked examples,UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 2: Journey of a River,"Dams, Pollution and Hidden Harm",UNSUPPORTED_CLAIM,low,The Chenab rail bridge in India is the highest railway arch bridge in the world.,This statement is not related to the chapter's topic of the journey of a river.
Grade 5,EVS,Chapter 3: The Mystery of Food,Concept introduction,UNSUPPORTED_CLAIM,low,All microbes should not be called harmful;,"This statement is not entirely accurate, as some microbes are indeed harmful, while others are beneficial."
Grade 5,EVS,Chapter 3: The Mystery of Food,Core explanation,FABRICATED_NUMBER,low,Chapter 3.indd 43Chapter 3.indd 43 10-Jul-25 6:11:53 PM10-Jul-25 6:11:53 PM Reprint 2026-27 Our Wondrous World 44 Finding #3 Drying in the Sun removes the moisture from the chillies.,The page number and date in the quote are not relevant to the explanation and appear to be a reference or footnote.
Grade 5,EVS,Chapter 3: The Mystery of Food,Exam-style problems,TOPIC_MISMATCH,high,You will learn how people select fresh produce and why seasonal and local foods are valued.,"This step is about selecting fresh produce and the value of seasonal and local foods, which is not the main topic of Chapter 3: The Mystery of Food."
Grade 5,EVS,Chapter 3: The Mystery of Food,Recap,UNSUPPORTED_CLAIM,low,Chewing releases saliva.,"This statement is not entirely accurate, as chewing does release saliva, but it also has other functions, such as breaking down food."
Grade 5,EVS,Chapter 3: The Mystery of Food,Revision and recap,TOPIC_MISMATCH,high,You will identify the jobs of different teeth and explain how chewing and saliva help digestion.,"This step is about teeth, digestion, oral hygiene, and safe eating, which is not the main topic of Chapter 3: The Mystery of Food."
Grade 5,EVS,Chapter 3: The Mystery of Food,What We Learn,UNSUPPORTED_CLAIM,low,"Some microbes spoil food, but others help us make tasty and healthy foods like curd and bread.","This statement is not entirely accurate, as some microbes can be harmful, while others are beneficial, and not all of them help make curd and bread."
Grade 5,EVS,Chapter 3: The Mystery of Food,Worked examples,FABRICATED_NUMBER,low,Disha found her leftover uttapam with coloured patches and a foul smell. Why did her uttapam spoil? What method can she use to prevent such spoilage in future?,"The question and the solution appear to be a worked example, but the numbers and dates in the quote are not relevant to the explanation."
Grade 5,EVS,Chapter 3: The Mystery of Food,Traditional Methods and Good Microbes,UNSUPPORTED_CLAIM,low,Fermentation is not the same as spoilage; microbes make a useful change in idli batter.,"This statement is not entirely accurate, as fermentation can be a form of spoilage, and the change made by microbes in idli batter is not necessarily useful."
Grade 5,EVS,Chapter 4: Our School — A Happy Place,Core explanation,FABRICATED_NUMBER,low,"Question: In NCERT Activity 2, how should the three boxes in the Segregation Game be labelled?","The problem does not specify the exact number of boxes, but the solution mentions three boxes."
Grade 5,EVS,Chapter 4: Our School — A Happy Place,Recap,UNSUPPORTED_CLAIM,low,"Our school is a place where we feel safe, and cared for.","This statement is not supported by the source text, which does not mention feeling safe and cared for as a specific aspect of a school."
Grade 5,EVS,Chapter 4: Our School — A Happy Place,What We Learn,FABRICATED_NUMBER,low,"Question: In your school, a tap leaks and drips 10 drops every minute. How much water is wasted in one day (24 hours)? Assume each drop is about 0.05 ml.","The problem assumes each drop is about 0.05 ml, but this is not specified in the source text."
Grade 5,EVS,Chapter 5: Our Vibrant Country,Concept introduction,UNSUPPORTED_CLAIM,low,"India built Aadhaar, the world’s biggest digital ID system used by over 99 per cent of adults in India.",This statement is not supported by the SOURCE_TEXT and appears to be an additional fact.
Grade 5,EVS,Chapter 5: Our Vibrant Country,Finding India in Notes and Symbols,FABRICATED_NUMBER,low,India has several hundred lions in the wild!,The SOURCE_TEXT does not provide a specific number of lions in the wild.
Grade 5,EVS,Chapter 5: Our Vibrant Country,"Music, Dance and Local Materials",TOPIC_MISMATCH,high,Even similar musical instruments can look and sound different across regions.,"This step's content is about music and dance, but it does not match the topic of the chapter, which is about India's diversity and culture."
Grade 5,EVS,Chapter 5: Our Vibrant Country,Exam-style problems,TOPIC_MISMATCH,high,Even similar musical instruments can look and sound different across regions.,"This step's content is about music and dance, but it does not match the topic of the chapter, which is about India's diversity and culture."
Grade 5,EVS,Chapter 6: Some Unique Places,Concept introduction,UNSUPPORTED_CLAIM,low,"You will connect roots, unique birds, corals, ferry safety and local knowledge.",The chapter does not explicitly connect these topics.
Grade 5,EVS,Chapter 6: Some Unique Places,Core explanation,FABRICATED_NUMBER,low,"The Sundarbans connects land, water, wildlife and people.",The chapter does not specify the exact number of people or communities that depend on the Sundarbans.
Grade 5,EVS,Chapter 6: Some Unique Places,Exam-style problems,TOPIC_MISMATCH,high,The Western Ghats are a long chain of forested hills with rich life.,"The chapter is supposed to be about the Sundarbans and mangrove adaptations, but this step is about the Western Ghats."
Grade 5,EVS,Chapter 6: Some Unique Places,Recap,UNSUPPORTED_CLAIM,low,"India has many different places, each with its own special features.",The chapter does not explicitly state that these places are unique.
Grade 5,EVS,Chapter 6: Some Unique Places,Revision and recap,TOPIC_MISMATCH,high,"The chapter concludes that the country is rich, beautiful and connected.","The chapter is supposed to be about the Sundarbans and mangrove adaptations, but this step is about the Northeast and Western Ghats."
Grade 5,EVS,Chapter 6: Some Unique Places,What We Learn,UNSUPPORTED_CLAIM,low,These places teach us about nature's diversity and importance.,The chapter does not explicitly state that these places are unique.
Grade 5,EVS,Chapter 6: Some Unique Places,Worked examples,TOPIC_MISMATCH,high,Suppose you want to learn about the mangrove forest in the Sundarbans:,"The chapter is supposed to be about the Sundarbans and mangrove adaptations, but this step is about the Northeast and Western Ghats."
Grade 5,EVS,Chapter 6: Some Unique Places,"Northeast: Culture, Birds and Root Bridges",UNSUPPORTED_CLAIM,low,Local knowledge and community action can protect living things and create useful structures from nature.,The chapter does not explicitly state that these actions are unique to the Northeast.
Grade 5,EVS,Chapter 7: Energy — How Things Work,Concept introduction,UNSUPPORTED_CLAIM,low,Energy is not only electricity.,"The chapter explicitly states that energy is not only electricity, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 7: Energy — How Things Work,Core explanation,UNSUPPORTED_CLAIM,low,The wick should not be named as the fuel in this activity; the chapter explicitly identifies the oil.,"The chapter explicitly states that the wick should not be named as the fuel, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 7: Energy — How Things Work,Exam-style problems,UNSUPPORTED_CLAIM,low,The focused-sunlight activity must not be performed without an adult.,"The chapter explicitly requires supervision, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 7: Energy — How Things Work,Recap,UNSUPPORTED_CLAIM,low,"Energy is not just visible; it causes effects like heating, moving, or lighting.","The chapter explicitly states that energy is not just visible, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 7: Energy — How Things Work,Revision and recap,UNSUPPORTED_CLAIM,low,A battery does not create unlimited energy. It stores a limited amount that devices use.,"The chapter explicitly states that a battery does not create unlimited energy, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 7: Energy — How Things Work,What We Learn,UNSUPPORTED_CLAIM,low,"Many students think energy is only in moving objects or lights. But energy is everywhere — in food, in the Sun, in water, and even in stored form like batteries.","The chapter explicitly states that energy is not just in moving objects or lights, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 7: Energy — How Things Work,Worked examples,UNSUPPORTED_CLAIM,low,A damaged wire should never be investigated closely by a child. Stay away and tell an adult.,"The chapter explicitly states that a damaged wire should never be investigated closely by a child, but this is not supported by the provided SOURCE_TEXT."
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,Concept introduction,UNSUPPORTED_CLAIM,low,A loose pile of strips is not woven. The strips must cross in an organised pattern.,"This statement is not entirely accurate, as weaving can involve loose strands, but they must be organized in a pattern to be considered woven."
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,Core explanation,FABRICATED_NUMBER,low,Activity 3 begins with a ball of cotton.,"The chapter does not specify the exact amount of cotton, but this statement implies a specific quantity."
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,Recap,UNSUPPORTED_CLAIM,low,"Synthetic fibers are made by humans using chemicals (polyester, nylon).","While synthetic fibers are often made from chemicals, not all synthetic fibers are made from the specific materials listed here."
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,What We Learn,UNSUPPORTED_CLAIM,low,"Synthetic fibers are made by humans using chemicals like polyester, nylon, and Terylene.","This statement implies that all synthetic fibers are made from these specific materials, which is not accurate."
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,Worked examples,UNSUPPORTED_CLAIM,low,"Synthetic fibers are made by humans using chemicals like polyester, nylon, and Terylene.","This statement implies that all synthetic fibers are made from these specific materials, which is not accurate."
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,"Natural, Synthetic and Silk Fibres",FABRICATED_NUMBER,low,"Activity 4: Students classify clothes, bags and other objects by fibre type.",The chapter does not specify the exact number of objects or the specific types of fibers to classify.
Grade 5,EVS,Chapter 9: Rhythms of Nature,Concept introduction,FABRICATED_NUMBER,low,"India celebrates over 1,000 festivals throughout the year",The number of festivals celebrated in India is not supported by the source text.
Grade 5,EVS,Chapter 9: Rhythms of Nature,Core explanation,UNSUPPORTED_CLAIM,low,The Sun appears to be rising in the east moving across the sky and setting in the west.,The source text does not explicitly state that the Sun appears to be moving across the sky.
Grade 5,EVS,Chapter 9: Rhythms of Nature,Revision and recap,TOPIC_MISMATCH,high,"This lesson, we will understand what we have learned about the patterns and changes in nature throughout the year.","This step's content is not about Chapter 9: Rhythms of Nature, but rather a general recap of the unit."
Grade 5,EVS,Chapter 9: Rhythms of Nature,Building a Seasons’ Chart,INCONSISTENCY,low,The class combines journal records on a large chart.,"This step contradicts the source text, which states that students will create their own charts, not a class chart."
Grade 5,Hindi,1. किरन,Concept introduction,TOPIC_MISMATCH,low,आप इस चरण में कविता का संवाद को पाठ के प्रमाणों के आधार पर समझेंगे।,"यह चरण कविता का संवाद समझने के लिए है, लेकिन पाठ के प्रमाणों के आधार पर नहीं"
Grade 5,Hindi,1. किरन,Core explanation,UNSUPPORTED_CLAIM,low,किरन को बोलने और यात्रा करने वाली सजीव मित्र के रूप में प्रस्तुत किया गया है।,यह दावा पाठ में समर्थन नहीं पाता है
Grade 5,Hindi,1. किरन,Exam-style problems,TOPIC_MISMATCH,low,"विद्यार्थी प्रकृति, परिश्रम करने वालों और किरन के साथ काल्पनिक यात्रा पर विचार करते हैं।","यह चरण विद्यार्थियों को प्रकृति और किरन के साथ काल्पनिक यात्रा पर विचार करने के लिए कहता है, लेकिन पाठ के प्रमाणों के आधार पर नहीं"
Grade 5,Hindi,10. तीन मछलियाँ,Core explanation,UNSUPPORTED_CLAIM,low,"अनागतविधाता पहले तैयारी करती है, प्रत्युत्पन्नमति समय पर उपाय निकालती है, यद्भविष्य सब भाग्य पर छोड़ती है।","यह वाक्य पूरी तरह से पाठ में नहीं दिया गया है, लेकिन यह एक सामान्य भावना है जो पाठ में व्यक्त की जाती है।"
Grade 5,Hindi,11. हमारे ये कलामंदिर,अजंता के सजीव चित्र: 11. हमारे ये कलामंदिर,UNSUPPORTED_CLAIM,low,चित्रों के भाव इतने स्पष्ट थे कि निशा को लगा वे अभी बोल पड़ेंगे।,यह दावा पाठ में स्पष्ट रूप से नहीं बताया गया है कि चित्रों के भाव इतने स्पष्ट थे कि वे अभी बोल पड़ेंगे।
Grade 5,Hindi,12. गंगा की कहानी,Concept introduction,UNSUPPORTED_CLAIM,low,गंगा अपनी कहानी प्रथम पुरुष में सुनाती है।,"पाठ में गंगा अपनी कहानी प्रथम पुरुष में सुनाती है, लेकिन यह दावा पूरी तरह से सही नहीं है।"
Grade 5,Hindi,12. गंगा की कहानी,Core explanation,UNSUPPORTED_CLAIM,low,गंगा का उद्गम गंगोत्री हिमनद के गोमुख से बताया गया है।,"यह दावा पूरी तरह से सही नहीं है, क्योंकि गंगा का उद्गम वास्तव में गोमुख से नहीं है, बल्कि हिमालय की गोद में है।"
Grade 5,Hindi,12. गंगा की कहानी,Exam-style problems,UNSUPPORTED_CLAIM,low,हिमालय हिम और आलय से मिलकर बना है।,"यह दावा पूरी तरह से सही नहीं है, क्योंकि हिमालय का नाम वास्तव में हिमालय से आया है, न कि हिम और आलय से।"
Grade 5,Hindi,12. गंगा की कहानी,Worked examples,UNSUPPORTED_CLAIM,low,गंगा का उद्गम गंगोत्री हिमनद के गोमुख से बताया गया है।,"यह दावा पूरी तरह से सही नहीं है, क्योंकि गंगा का उद्गम वास्तव में गोमुख से नहीं है, बल्कि हिमालय की गोद में है।"
Grade 5,Hindi,12. गंगा की कहानी,Revision and recap,UNSUPPORTED_CLAIM,low,गंगा का उद्गम गंगोत्री हिमनद के गोमुख से बताया गया है।,"यह दावा पूरी तरह से सही नहीं है, क्योंकि गंगा का उद्गम वास्तव में गोमुख से नहीं है, बल्कि हिमालय की गोद में है।"
Grade 5,Hindi,12. गंगा की कहानी,What We Learn,UNSUPPORTED_CLAIM,low,गंगा का उद्गम गंगोत्री हिमनद के गोमुख से बताया गया है।,"यह दावा पूरी तरह से सही नहीं है, क्योंकि गंगा का उद्गम वास्तव में गोमुख से नहीं है, बल्कि हिमालय की गोद में है।"
Grade 5,Hindi,12. गंगा की कहानी,Samudr tak yatra aur pradushan,UNSUPPORTED_CLAIM,low,काशी पहुँचते-पहुँचते गंगा का चमकीला रंग मटमैला हो जाता है।,"यह दावा पूरी तरह से सही नहीं है, क्योंकि कारखानों और शहरों का गंदा पानी गंगा में मिलने से उसका स्वच्छ, चमकीला जल दूषित और मटमैला हो जाता है।"
Grade 5,Hindi,2. न्याय की कु सी,Concept introduction,UNSUPPORTED_CLAIM,low,पाठ में न दी गई घटना या कारण जोड़ना उचित नहीं है।,"यह एक सामान्य भूल है, जो पाठ में नहीं है, लेकिन एक अच्छा सुझाव है।"
Grade 5,Hindi,2. न्याय की कु सी,Core explanation,UNSUPPORTED_CLAIM,low,नगर में उसके निष्पक्ष फैसलों की चर्चा फैल चुकी थी।,"यह एक अच्छा विवरण है, लेकिन पाठ में यह वाक्य नहीं है।"
Grade 5,Hindi,2. न्याय की कु सी,Exam-style problems,UNSUPPORTED_CLAIM,low,वे वाक्य का ठहराव और भाव स्पष्ट करते हैं।,"यह एक अच्छा विवरण है, लेकिन पाठ में यह वाक्य नहीं है।"
Grade 5,Hindi,2. न्याय की कु सी,Revision and recap,UNSUPPORTED_CLAIM,low,वे वाक्य का ठहराव और भाव स्पष्ट करते हैं।,"यह एक अच्छा विवरण है, लेकिन पाठ में यह वाक्य नहीं है।"
Grade 5,Hindi,2. न्याय की कु सी,Worked examples,UNSUPPORTED_CLAIM,low,राजा ने प्रभाव को पत्थर की कुर्सी से जुड़ा माना।,"यह एक अच्छा विवरण है, लेकिन पाठ में यह वाक्य नहीं है।"
Grade 5,Hindi,3. चाँद का कु रता,Concept introduction,TOPIC_MISMATCH,low,आप इस चरण में चाँद की माँग को पाठ के प्रमाणों के आधार पर समझेंगे।,"यह चरण का मुख्य विषय चाँद की माँग है, लेकिन पाठ में इसे प्रमाणित करने वाले साक्ष्य नहीं दिए गए हैं।"
Grade 5,Hindi,3. चाँद का कु रता,Core explanation,UNSUPPORTED_CLAIM,low,माँ एक नाप नहीं ले सकती क्योंकि चाँद का आकार प्रतिदिन बदलता है।,यह दावा पाठ में दिए गए साक्ष्य पर आधारित नहीं है।
Grade 5,Hindi,3. चाँद का कु रता,Exam-style problems,UNSUPPORTED_CLAIM,low,चाँद के लिए ऐसा कुरता चाहिए जो प्रतिदिन बदलते आकार में फिट आए।,यह दावा पाठ में दिए गए साक्ष्य पर आधारित नहीं है।
Grade 5,Hindi,3. चाँद का कु रता,Revision and recap,TOPIC_MISMATCH,low,"कुरता बनाना, ग्रहणों की जानकारी खोजना, पहेली और ‘जागो प्यारे’ कविता अध्याय को विस्तार देते हैं।","यह चरण का मुख्य विषय रचनात्मक विस्तार है, लेकिन पाठ में इसे प्रमाणित करने वाले साक्ष्य नहीं दिए गए हैं।"
Grade 5,Hindi,3. चाँद का कु रता,Worked examples,UNSUPPORTED_CLAIM,low,‘ठिठुर-ठिठुरकर’ दो बार क्यों कहा गया है? ,यह दावा पाठ में दिए गए साक्ष्य पर आधारित नहीं है।
