chapter,step,status,cosine,term_coverage_pct,lesson_words,rag_words,rag_available,missing_terms,notes
Chapter 3: The Mystery of Food,Worked Examples,PARTIAL,0.618,40.0,526,2703,True,"indd, chapter, reprint, mystery, world, finding, home, school, write","Missing key RAG terms: indd, chapter, reprint, mystery, world, finding; Lesson (526w) much shorter than RAG content (2703w)"
Chapter 4: Our School — A Happy Place,Recap,GOOD,0.786,60.0,559,3087,True,"indd, reprint, write, find, world","Missing key RAG terms: indd, reprint, write, find, world; Lesson (559w) much shorter than RAG content (3087w)"
Chapter 4: Our School — A Happy Place,What We Learn,PARTIAL,0.452,45.0,472,3087,True,"indd, happy, chapter, reprint, place, write, green, feel, world","Missing key RAG terms: indd, happy, chapter, reprint, place, write; Lesson (472w) much shorter than RAG content (3087w)"
Chapter 4: Our School — A Happy Place,Worked Examples,GOOD,0.613,65.0,589,3087,True,"indd, chapter, reprint, write, feel, world","Missing key RAG terms: indd, chapter, reprint, write, feel, world; Lesson (589w) much shorter than RAG content (3087w)"
Chapter 5: Our Vibrant Country,Recap,GOOD,0.791,70.0,645,3036,True,"indd, chapter, reprint, world, teacher, school","Missing key RAG terms: indd, chapter, reprint, world, teacher, school; Lesson (645w) much shorter than RAG content (3036w)"
Chapter 5: Our Vibrant Country,What We Learn,GOOD,0.706,60.0,492,3036,True,"indd, chapter, reprint, note, world, currency, teacher","Missing key RAG terms: indd, chapter, reprint, note, world, currency; Lesson (492w) much shorter than RAG content (3036w)"
Chapter 5: Our Vibrant Country,Worked Examples,PARTIAL,0.756,50.0,413,3036,True,"indd, chapter, reprint, world, state, people, teacher, school","Missing key RAG terms: indd, chapter, reprint, world, state, people; Lesson (413w) much shorter than RAG content (3036w)"
Chapter 6: Some Unique Places,Recap,GOOD,0.607,65.0,719,2867,True,"indd, shanti, chapter, reprint, appa, said","Missing key RAG terms: indd, shanti, chapter, reprint, appa, said; Lesson (719w) much shorter than RAG content (2867w)"
Chapter 6: Some Unique Places,What We Learn,GOOD,0.728,70.0,560,2867,True,"indd, shanti, reprint, appa, said","Missing key RAG terms: indd, shanti, reprint, appa, said; Lesson (560w) much shorter than RAG content (2867w)"
Chapter 6: Some Unique Places,Worked Examples,PARTIAL,0.691,55.0,597,2867,True,"indd, shanti, reprint, islands, people, nature, appa, said","Missing key RAG terms: indd, shanti, reprint, islands, people, nature; Lesson (597w) much shorter than RAG content (2867w)"
Chapter 7: Energy — How Things Work,Recap,GOOD,0.774,85.0,660,3204,True,"indd, reprint","Missing key RAG terms: indd, reprint; Lesson (660w) much shorter than RAG content (3204w)"
Chapter 7: Energy — How Things Work,What We Learn,GOOD,0.761,75.0,665,3204,True,"indd, chapter, reprint, activity","Missing key RAG terms: indd, chapter, reprint, activity; Lesson (665w) much shorter than RAG content (3204w)"
Chapter 7: Energy — How Things Work,Worked Examples,GOOD,0.767,75.0,499,3204,True,"indd, chapter, reprint","Missing key RAG terms: indd, chapter, reprint; Lesson (499w) much shorter than RAG content (3204w)"
Chapter 8: Clothes — How Things are Made,Recap,GOOD,0.696,65.0,581,2259,True,"indd, chapter, reprint, world, activity","Missing key RAG terms: indd, chapter, reprint, world, activity; Lesson (581w) much shorter than RAG content (2259w)"
Chapter 8: Clothes — How Things are Made,What We Learn,GOOD,0.677,60.0,522,2259,True,"indd, chapter, reprint, things, world, activity","Missing key RAG terms: indd, chapter, reprint, things, world, activity; Lesson (522w) much shorter than RAG content (2259w)"
Chapter 8: Clothes — How Things are Made,Worked Examples,PARTIAL,0.555,55.0,634,2259,True,"indd, chapter, reprint, make, things, world","Missing key RAG terms: indd, chapter, reprint, make, things, world; Lesson (634w) much shorter than RAG content (2259w)"
Chapter 9: Rhythms of Nature,Recap,GOOD,0.758,70.0,556,2535,True,"indd, chapter, reprint, group, chart","Missing key RAG terms: indd, chapter, reprint, group, chart; Lesson (556w) much shorter than RAG content (2535w)"
Chapter 9: Rhythms of Nature,What We Learn,GOOD,0.705,75.0,680,2535,True,"indd, reprint, world, chart","Missing key RAG terms: indd, reprint, world, chart; Lesson (680w) much shorter than RAG content (2535w)"
Chapter 9: Rhythms of Nature,Worked Examples,GOOD,0.735,60.0,590,2535,True,"indd, chapter, reprint, group, world, night","Missing key RAG terms: indd, chapter, reprint, group, world, night; Lesson (590w) much shorter than RAG content (2535w)"
1. किरन,Recap,POOR,0.01,16.7,446,1485,True,"indd, reprint, https, youtube, watch","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint, https, youtube, watch"
1. किरन,What We Learn,POOR,0.022,16.7,494,1485,True,"indd, reprint, https, youtube, watch","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint, https, youtube, watch"
1. किरन,Worked Examples,POOR,0.0,0.0,492,1485,True,"chapter, indd, reprint, https, youtube, watch","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint, https, youtube, watch"
10. तीन मछलियाँ,Recap,POOR,0.038,33.3,538,2405,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (538w) much shorter than RAG content (2405w)"
10. तीन मछलियाँ,What We Learn,POOR,0.0,0.0,715,2405,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (715w) much shorter than RAG content (2405w)"
10. तीन मछलियाँ,Worked Examples,POOR,0.01,33.3,550,2405,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (550w) much shorter than RAG content (2405w)"
11. हमारे ये कलामंदिर,Recap,POOR,0.0,0.0,510,2768,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (510w) much shorter than RAG content (2768w)"
11. हमारे ये कलामंदिर,What We Learn,POOR,0.01,33.3,543,2768,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (543w) much shorter than RAG content (2768w)"
11. हमारे ये कलामंदिर,Worked Examples,POOR,0.018,33.3,465,2768,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (465w) much shorter than RAG content (2768w)"
12. गंगा की कहानी,Recap,POOR,0.0,0.0,420,3694,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (420w) much shorter than RAG content (3694w)"
12. गंगा की कहानी,What We Learn,POOR,0.0,0.0,469,3694,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (469w) much shorter than RAG content (3694w)"
12. गंगा की कहानी,Worked Examples,POOR,0.0,0.0,527,3694,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (527w) much shorter than RAG content (3694w)"
2. न्याय की कु सी,Recap,POOR,0.0,0.0,392,3404,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (392w) much shorter than RAG content (3404w)"
2. न्याय की कु सी,What We Learn,POOR,0.0,0.0,426,3404,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (426w) much shorter than RAG content (3404w)"
2. न्याय की कु सी,Worked Examples,POOR,0.0,0.0,545,3404,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (545w) much shorter than RAG content (3404w)"
3. चाँद का कु रता,Recap,POOR,0.009,33.3,551,2191,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (551w) much shorter than RAG content (2191w)"
3. चाँद का कु रता,What We Learn,POOR,0.0,0.0,492,2191,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (492w) much shorter than RAG content (2191w)"
3. चाँद का कु रता,Worked Examples,POOR,0.0,0.0,501,2191,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (501w) much shorter than RAG content (2191w)"
4. साङके न,Recap,POOR,0.0,0.0,407,2695,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (407w) much shorter than RAG content (2695w)"
4. साङके न,What We Learn,POOR,0.0,0.0,451,2695,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (451w) much shorter than RAG content (2695w)"
4. साङके न,Worked Examples,POOR,0.0,0.0,453,2695,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (453w) much shorter than RAG content (2695w)"
5. सुंदरिया,Recap,POOR,0.0,0.0,634,4022,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (634w) much shorter than RAG content (4022w)"
5. सुंदरिया,What We Learn,POOR,0.011,33.3,621,4022,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (621w) much shorter than RAG content (4022w)"
5. सुंदरिया,Worked Examples,POOR,0.0,0.0,594,4022,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (594w) much shorter than RAG content (4022w)"
6. चतुर चित्रकार,Recap,POOR,0.0,0.0,404,2810,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (404w) much shorter than RAG content (2810w)"
6. चतुर चित्रकार,What We Learn,POOR,0.0,0.0,545,2810,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (545w) much shorter than RAG content (2810w)"
6. चतुर चित्रकार,Worked Examples,POOR,0.0,0.0,558,2810,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (558w) much shorter than RAG content (2810w)"
7. मेरा बचपन,Recap,POOR,0.0,0.0,437,2263,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (437w) much shorter than RAG content (2263w)"
7. मेरा बचपन,What We Learn,POOR,0.103,33.3,427,2263,True,"indd, reprint","Missing key RAG terms: indd, reprint; Lesson (427w) much shorter than RAG content (2263w)"
7. मेरा बचपन,Worked Examples,POOR,0.045,33.3,489,2263,True,"indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: indd, reprint; Lesson (489w) much shorter than RAG content (2263w)"
8. काजीरंगा राष्ट्ीय उद्ान की यात्,Recap,POOR,0.0,0.0,450,2778,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (450w) much shorter than RAG content (2778w)"
8. काजीरंगा राष्ट्ीय उद्ान की यात्,What We Learn,POOR,0.0,0.0,526,2778,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (526w) much shorter than RAG content (2778w)"
8. काजीरंगा राष्ट्ीय उद्ान की यात्,Worked Examples,POOR,0.0,0.0,560,2778,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (560w) much shorter than RAG content (2778w)"
9. न्याय,Recap,POOR,0.0,0.0,490,3767,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (490w) much shorter than RAG content (3767w)"
9. न्याय,What We Learn,POOR,0.0,0.0,414,3767,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (414w) much shorter than RAG content (3767w)"
9. न्याय,Worked Examples,POOR,0.0,0.0,468,3767,True,"chapter, indd, reprint","Very low similarity to RAG text — likely AI-only generation; Missing key RAG terms: chapter, indd, reprint; Lesson (468w) much shorter than RAG content (3767w)"
Chapter 1: We the Travellers — I,Recap,PARTIAL,0.621,50.0,561,7116,True,"indd, travellers, chapter, reprint, between, find, horses, nearest, following","Missing key RAG terms: indd, travellers, chapter, reprint, between, find; Lesson (561w) much shorter than RAG content (7116w)"
Chapter 1: We the Travellers — I,What We Learn,PARTIAL,0.606,50.0,561,7116,True,"indd, travellers, chapter, reprint, between, find, horses, nearest, following","Missing key RAG terms: indd, travellers, chapter, reprint, between, find; Lesson (561w) much shorter than RAG content (7116w)"
Chapter 1: We the Travellers — I,Worked Examples,GOOD,0.599,60.0,657,7116,True,"indd, travellers, chapter, reprint, horses, nearest, following","Missing key RAG terms: indd, travellers, chapter, reprint, horses, nearest; Lesson (657w) much shorter than RAG content (7116w)"
Chapter 10: Symmetrical Designs,Recap,GOOD,0.795,95.0,522,1165,True,indd,Missing key RAG terms: indd
Chapter 10: Symmetrical Designs,What We Learn,GOOD,0.769,80.0,513,1165,True,"letter, indd, paper, letters","Missing key RAG terms: letter, indd, paper, letters"
Chapter 10: Symmetrical Designs,Worked Examples,GOOD,0.755,60.0,517,1165,True,"letter, indd, paper, letters, make, lines, fold","Missing key RAG terms: letter, indd, paper, letters, make, lines"
Chapter 11: Grandmother’s Quilt,Recap,GOOD,0.784,65.0,513,1700,True,"grandmother, quit, indd, chapter, reprint","Missing key RAG terms: grandmother, quit, indd, chapter, reprint"
Chapter 11: Grandmother’s Quilt,What We Learn,GOOD,0.736,70.0,629,1700,True,"quit, indd, table, reprint","Missing key RAG terms: quit, indd, table, reprint"
Chapter 11: Grandmother’s Quilt,Worked Examples,PARTIAL,0.665,55.0,709,1700,True,"grandmother, quit, indd, chapter, reprint","Missing key RAG terms: grandmother, quit, indd, chapter, reprint"
Chapter 12: Racing Seconds,Recap,PARTIAL,0.587,55.0,429,1322,True,"indd, took, number, chapter, reprint, taken","Missing key RAG terms: indd, took, number, chapter, reprint, taken"
Chapter 12: Racing Seconds,What We Learn,PARTIAL,0.624,50.0,559,1322,True,"racing, indd, number, chapter, reprint, raghav, taken","Missing key RAG terms: racing, indd, number, chapter, reprint, raghav"
Chapter 12: Racing Seconds,Worked Examples,GOOD,0.691,65.0,585,1322,True,"racing, indd, chapter, reprint, taken","Missing key RAG terms: racing, indd, chapter, reprint, taken"
Chapter 13: Animal Jumps,Recap,PARTIAL,0.691,40.0,564,1486,True,"jumps, animal, indd, jump, time, steps, divisible","Missing key RAG terms: jumps, animal, indd, jump, time, steps"
Chapter 13: Animal Jumps,What We Learn,GOOD,0.785,75.0,645,1486,True,"indd, divisible","Missing key RAG terms: indd, divisible"
Chapter 13: Animal Jumps,Worked Examples,GOOD,0.805,65.0,482,1486,True,"indd, time, divisible","Missing key RAG terms: indd, time, divisible"
Chapter 14: Maps and Locations,Recap,PARTIAL,0.757,45.0,556,1477,True,"indd, metro, house, children, chapter, reprint, stop, station","Missing key RAG terms: indd, metro, house, children, chapter, reprint"
Chapter 14: Maps and Locations,What We Learn,PARTIAL,0.768,35.0,497,1477,True,"indd, metro, locations, house, children, chapter, reprint, stop, station, first","Missing key RAG terms: indd, metro, locations, house, children, chapter"
Chapter 14: Maps and Locations,Worked Examples,GOOD,0.766,70.0,542,1477,True,"indd, metro, chapter, reprint, station","Missing key RAG terms: indd, metro, chapter, reprint, station"
Chapter 15: Data Through Pictures,Recap,PARTIAL,0.5,30.0,522,1729,True,"indd, reprint, figures, shift, hours, food, children, chapter, true, false","Missing key RAG terms: indd, reprint, figures, shift, hours, food"
Chapter 15: Data Through Pictures,What We Learn,PARTIAL,0.556,25.0,661,1729,True,"indd, reprint, figures, shift, hours, food, children, chapter, true, false, time","Missing key RAG terms: indd, reprint, figures, shift, hours, food"
Chapter 15: Data Through Pictures,Worked Examples,PARTIAL,0.54,30.0,752,1729,True,"indd, reprint, figures, shift, hours, food, children, chapter, true, false, time","Missing key RAG terms: indd, reprint, figures, shift, hours, food"
Chapter 2: Fractions,Recap,PARTIAL,0.635,40.0,472,2564,True,"indd, paratha, pieces, parathas, equivalent, chapter, reprint, find, raman","Missing key RAG terms: indd, paratha, pieces, parathas, equivalent, chapter; Lesson (472w) much shorter than RAG content (2564w)"
Chapter 2: Fractions,What We Learn,PARTIAL,0.683,55.0,612,2564,True,"indd, paratha, parathas, chapter, reprint, raman","Missing key RAG terms: indd, paratha, parathas, chapter, reprint, raman; Lesson (612w) much shorter than RAG content (2564w)"
Chapter 2: Fractions,Worked Examples,PARTIAL,0.572,45.0,488,2564,True,"indd, paratha, pieces, parathas, chapter, reprint, raman, make","Missing key RAG terms: indd, paratha, pieces, parathas, chapter, reprint; Lesson (488w) much shorter than RAG content (2564w)"
Chapter 3: Angles as Turns,Recap,GOOD,0.746,65.0,599,1822,True,"clockwise, indd, made, minute, hand","Missing key RAG terms: clockwise, indd, made, minute, hand"
Chapter 3: Angles as Turns,What We Learn,GOOD,0.725,80.0,618,1822,True,"clockwise, indd","Missing key RAG terms: clockwise, indd"
Chapter 3: Angles as Turns,Worked Examples,GOOD,0.762,70.0,624,1822,True,"clockwise, indd, direction, acute","Missing key RAG terms: clockwise, indd, direction, acute"
Chapter 4: We the Travellers — II,Recap,PARTIAL,0.708,25.0,763,7116,True,"indd, travellers, thousand, chapter, reprint, digits, tens, horses, nearest, hundred, following","Missing key RAG terms: indd, travellers, thousand, chapter, reprint, digits; Lesson (763w) much shorter than RAG content (7116w)"
Chapter 4: We the Travellers — II,What We Learn,GOOD,0.713,70.0,786,7116,True,"indd, reprint, tens, horses, following","Missing key RAG terms: indd, reprint, tens, horses, following; Lesson (786w) much shorter than RAG content (7116w)"
Chapter 4: We the Travellers — II,Worked Examples,GOOD,0.698,70.0,567,7116,True,"indd, reprint, between, horses, nearest, following","Missing key RAG terms: indd, reprint, between, horses, nearest, following; Lesson (567w) much shorter than RAG content (7116w)"
Chapter 5: Far and Near,Recap,PARTIAL,0.552,55.0,525,2751,True,"indd, chapter, reprint, find, number, cloth","Missing key RAG terms: indd, chapter, reprint, find, number, cloth; Lesson (525w) much shorter than RAG content (2751w)"
Chapter 5: Far and Near,What We Learn,GOOD,0.57,70.0,673,2751,True,"indd, reprint, find, difference","Missing key RAG terms: indd, reprint, find, difference; Lesson (673w) much shorter than RAG content (2751w)"
Chapter 5: Far and Near,Worked Examples,PARTIAL,0.39,50.0,462,2751,True,"indd, near, chapter, height, reprint, difference, number, cloth","Missing key RAG terms: indd, near, chapter, height, reprint, difference; Lesson (462w) much shorter than RAG content (2751w)"
Chapter 6: The Dairy Farm,Recap,GOOD,0.569,75.0,1042,5267,True,"indd, chapter, reprint, coins, discuss","Missing key RAG terms: indd, chapter, reprint, coins, discuss; Lesson (1042w) much shorter than RAG content (5267w)"
